selection1/image,selection1/url,selection1/selection2,selection1/selection2_url,selection1/selection3,selection1/selection3_url
https://static.noimg.net/movie/cover/original/9b1176514e453f95530a64e99d4bfc75.jpg,https://pelisplus.me/pelicula/zapatos-rojos-y-los-siete-trolls/,Zapatos Rojos y Los Siete Trolls,https://pelisplus.me/pelicula/zapatos-rojos-y-los-siete-trolls/,2019,https://pelisplus.me/pelicula/zapatos-rojos-y-los-siete-trolls/
https://static.noimg.net/movie/cover/original/3359907777ef10668ee3c1d8a5938ce7.jpg,https://pelisplus.me/pelicula/primal-tales-of-savagery/,Primal : Tales of Savagery,https://pelisplus.me/pelicula/primal-tales-of-savagery/,2019,https://pelisplus.me/pelicula/primal-tales-of-savagery/
https://static.noimg.net/movie/cover/original/e7d1371313eaf10dc3f32f25a1157930.jpg,https://pelisplus.me/pelicula/scooby-doo-y-la-maldicion-del-monstruo-del-lago/,¡Scooby Doo! y La Maldición del Monstruo del Lago,https://pelisplus.me/pelicula/scooby-doo-y-la-maldicion-del-monstruo-del-lago/,2010,https://pelisplus.me/pelicula/scooby-doo-y-la-maldicion-del-monstruo-del-lago/
https://static.noimg.net/movie/cover/original/fdf803983d51da0cb7f8dcb5ff0825da.jpg,https://pelisplus.me/pelicula/dc-showcase-the-phantom-stranger/,DC Showcase: The Phantom Stranger,https://pelisplus.me/pelicula/dc-showcase-the-phantom-stranger/,2020,https://pelisplus.me/pelicula/dc-showcase-the-phantom-stranger/
https://static.noimg.net/movie/cover/original/0f8e50d11a53a4571dad5dd3ade569cb.jpg,https://pelisplus.me/pelicula/dc-showcase-sgt-rock/,DC Showcase: Sgt. Rock,https://pelisplus.me/pelicula/dc-showcase-sgt-rock/,2019,https://pelisplus.me/pelicula/dc-showcase-sgt-rock/
https://static.noimg.net/movie/cover/original/11460acf15a53e6f03059a2db3a93753.jpg,https://pelisplus.me/pelicula/dc-showcase-jonah-hex/,DC Showcase: Jonah Hex,https://pelisplus.me/pelicula/dc-showcase-jonah-hex/,2010,https://pelisplus.me/pelicula/dc-showcase-jonah-hex/
https://static.noimg.net/movie/cover/original/e35a499a912927d3467877e1a3a842dc.jpg,https://pelisplus.me/pelicula/dc-showcase-death/,DC Showcase: Death,https://pelisplus.me/pelicula/dc-showcase-death/,2019,https://pelisplus.me/pelicula/dc-showcase-death/
https://static.noimg.net/movie/cover/original/7839165e94283698eb022aa0537f417e.jpg,https://pelisplus.me/pelicula/dc-showcase-catwoman/,DC Showcase: Catwoman,https://pelisplus.me/pelicula/dc-showcase-catwoman/,2011,https://pelisplus.me/pelicula/dc-showcase-catwoman/
https://static.noimg.net/movie/cover/original/db6c116c94f858633326cf620e9951d0.jpg,https://pelisplus.me/pelicula/stardog-and-turbocat/,StarDog y TurboCat,https://pelisplus.me/pelicula/stardog-and-turbocat/,2019,https://pelisplus.me/pelicula/stardog-and-turbocat/
https://static.noimg.net/movie/cover/original/8f6f18f4676846a611f05260430dba1c.jpg,https://pelisplus.me/pelicula/spycies/,Spycies,https://pelisplus.me/pelicula/spycies/,2020,https://pelisplus.me/pelicula/spycies/
https://static.noimg.net/movie/cover/original/fdb1f2e6dd9f02e131cdfd9b45948148.jpg,https://pelisplus.me/pelicula/cara-sucia-con-la-magia-de-la-naturaleza/,"Cara Sucia, Con La Magia de La Naturaleza",https://pelisplus.me/pelicula/cara-sucia-con-la-magia-de-la-naturaleza/,2019,https://pelisplus.me/pelicula/cara-sucia-con-la-magia-de-la-naturaleza/
https://static.noimg.net/movie/cover/original/8363fa6f72d9c7e9b3f155959dc05542.jpg,https://pelisplus.me/pelicula/nicky-la-aprendiz-de-bruja/,Kiki: Entregas a Domicilio,https://pelisplus.me/pelicula/nicky-la-aprendiz-de-bruja/,1989,https://pelisplus.me/pelicula/nicky-la-aprendiz-de-bruja/
https://static.noimg.net/movie/cover/original/ecb8516f7051a32181b654ad8fcc023d.jpg,https://pelisplus.me/pelicula/scooby/,¡Scooby!,https://pelisplus.me/pelicula/scooby/,2020,https://pelisplus.me/pelicula/scooby/
https://static.noimg.net/movie/cover/original/58d0f5c047c8959215adb824cd34d6b6.jpg,https://pelisplus.me/pelicula/quien-engano-a-roger-rabbit/,¿Quién Engañó a Roger Rabbit?,https://pelisplus.me/pelicula/quien-engano-a-roger-rabbit/,1988,https://pelisplus.me/pelicula/quien-engano-a-roger-rabbit/
https://static.noimg.net/movie/cover/original/04425b6105d53018e33105db86aa7b05.jpg,https://pelisplus.me/pelicula/la-sirenita-3-el-origen-de-la-sirenita/,La Sirenita 3: El Origen de la Sirenita,https://pelisplus.me/pelicula/la-sirenita-3-el-origen-de-la-sirenita/,2008,https://pelisplus.me/pelicula/la-sirenita-3-el-origen-de-la-sirenita/
https://static.noimg.net/movie/cover/original/ed95fbf1e616bccb6dc29f5c21d6a6c9.jpg,https://pelisplus.me/pelicula/willy-y-los-guardianes-del-lago/,Willy y Los Guardianes del Lago,https://pelisplus.me/pelicula/willy-y-los-guardianes-del-lago/,2018,https://pelisplus.me/pelicula/willy-y-los-guardianes-del-lago/
https://static.noimg.net/movie/cover/original/189218ea4b16db8b271534b463351149.jpg,https://pelisplus.me/pelicula/homeless-the-movie/,Homeless,https://pelisplus.me/pelicula/homeless-the-movie/,2019,https://pelisplus.me/pelicula/homeless-the-movie/
https://static.noimg.net/movie/cover/original/c16967a9921a68d0d1f5f666c4163a77.jpg,https://pelisplus.me/pelicula/justice-league-dark-apokolips-war/,Liga de la Justicia Oscura: Guerra Apokolips,https://pelisplus.me/pelicula/justice-league-dark-apokolips-war/,2020,https://pelisplus.me/pelicula/justice-league-dark-apokolips-war/
https://static.noimg.net/movie/cover/original/f199511000be7649a61ffdf1ecabcb13.jpg,https://pelisplus.me/pelicula/el-tiempo-contigo/,El Tiempo Contigo,https://pelisplus.me/pelicula/el-tiempo-contigo/,2019,https://pelisplus.me/pelicula/el-tiempo-contigo/
https://static.noimg.net/movie/cover/original/c3e874eaf1d7dc192a66dd6c14f88f3f.jpg,https://pelisplus.me/pelicula/kikoriki-la-leyenda-del-dragon-dorado/,Kikoriki. La Leyenda del Dragón Dorado,https://pelisplus.me/pelicula/kikoriki-la-leyenda-del-dragon-dorado/,2017,https://pelisplus.me/pelicula/kikoriki-la-leyenda-del-dragon-dorado/
https://static.noimg.net/movie/cover/original/2320b39ea2e9f67ef7ce454aa1f344af.jpg,https://pelisplus.me/pelicula/lego-dc-shazam-magic-and-monsters/,LEGO DC: Shazam Magia y Monstruos,https://pelisplus.me/pelicula/lego-dc-shazam-magic-and-monsters/,2020,https://pelisplus.me/pelicula/lego-dc-shazam-magic-and-monsters/
