selection1/image,selection1/url,selection1/selection2,selection1/selection2_url,selection1/selection3,selection1/selection3_url
https://static.noimg.net/serie/cover/original/9073aed32c418c13702d00f6f3e57f8c.jpg,https://pelisplus.me/serie/l-a-s-finest/,L.A.'s Finest,https://pelisplus.me/serie/l-a-s-finest/,2019,https://pelisplus.me/serie/l-a-s-finest/
https://static.noimg.net/serie/cover/original/8d10ff6e38db8393b5fc925660363625.jpg,https://pelisplus.me/serie/lifeline/,Lifeline,https://pelisplus.me/serie/lifeline/,2017,https://pelisplus.me/serie/lifeline/
https://static.noimg.net/serie/cover/original/fbc8d3032a44b3b4b0451df699902453.jpg,https://pelisplus.me/serie/snowpiercer-rompenieves/,Snowpiercer (Rompenieves),https://pelisplus.me/serie/snowpiercer-rompenieves/,2020,https://pelisplus.me/serie/snowpiercer-rompenieves/
https://static.noimg.net/serie/cover/original/c09e3d2d6a6254ca0b3cee17d461bfe0.jpg,https://pelisplus.me/serie/stargirl/,Stargirl,https://pelisplus.me/serie/stargirl/,2020,https://pelisplus.me/serie/stargirl/
https://static.noimg.net/serie/cover/original/a2b90d721294d294e243ab1e17270f97.jpg,https://pelisplus.me/serie/graceland/,Graceland,https://pelisplus.me/serie/graceland/,2013,https://pelisplus.me/serie/graceland/
https://static.noimg.net/serie/cover/original/f5f1a791bfd5fd19018781c98c301af4.jpg,https://pelisplus.me/serie/hercules-sus-viajes-legendarios/,Hércules: Sus Viajes Legendarios,https://pelisplus.me/serie/hercules-sus-viajes-legendarios/,1995,https://pelisplus.me/serie/hercules-sus-viajes-legendarios/
https://static.noimg.net/serie/cover/original/2d022a32bb4d02c002f310a21094b4e1.jpg,https://pelisplus.me/serie/gangs-of-london/,Gangs Of London,https://pelisplus.me/serie/gangs-of-london/,2020,https://pelisplus.me/serie/gangs-of-london/
https://static.noimg.net/serie/cover/original/35710b68d9f2a5dd6a4dc62e04876b95.jpg,https://pelisplus.me/serie/legends/,Legends,https://pelisplus.me/serie/legends/,2014,https://pelisplus.me/serie/legends/
https://static.noimg.net/serie/cover/original/38789a6731c39f145c921488134f0ceb.jpg,https://pelisplus.me/serie/las-nuevas-leyendas-de-mono/,Las Nuevas Leyendas de Mono,https://pelisplus.me/serie/las-nuevas-leyendas-de-mono/,2018,https://pelisplus.me/serie/las-nuevas-leyendas-de-mono/
https://static.noimg.net/serie/cover/original/37c44e28e89c897f3116fce57de0cc29.jpg,https://pelisplus.me/serie/la-joven-liga-de-la-justicia/,La Joven Liga de La Justicia,https://pelisplus.me/serie/la-joven-liga-de-la-justicia/,2010,https://pelisplus.me/serie/la-joven-liga-de-la-justicia/
