selection1/image,selection1/url,selection1/selection2,selection1/selection2_url,selection1/selection3,selection1/selection3_url
https://static.noimg.net/serie/cover/original/935c6ee3cd72d9da7052716f344a1bb5.jpg,https://pelisplus.me/serie/el-vacio/,El Vacío,https://pelisplus.me/serie/el-vacio/,2018,https://pelisplus.me/serie/el-vacio/
https://static.noimg.net/serie/cover/original/37c44e28e89c897f3116fce57de0cc29.jpg,https://pelisplus.me/serie/la-joven-liga-de-la-justicia/,La Joven Liga de La Justicia,https://pelisplus.me/serie/la-joven-liga-de-la-justicia/,2010,https://pelisplus.me/serie/la-joven-liga-de-la-justicia/
https://static.noimg.net/serie/cover/original/df3af5fdc6cc8c0b09928f14eeebcf61.jpg,https://pelisplus.me/serie/glitch-techs/,Glitch Techs,https://pelisplus.me/serie/glitch-techs/,2020,https://pelisplus.me/serie/glitch-techs/
https://static.noimg.net/serie/cover/original/a41c351079ee69a46adda5094d24af43.jpg,https://pelisplus.me/serie/los-jovenes-titanes-en-accion/,Los Jóvenes Titanes en Acción,https://pelisplus.me/serie/los-jovenes-titanes-en-accion/,2013,https://pelisplus.me/serie/los-jovenes-titanes-en-accion/
https://static.noimg.net/serie/cover/original/4555f0617d9f1acedea1ab3e7b3c30fb.jpg,https://pelisplus.me/serie/las-aventuras-del-gato-con-botas/,Las Aventuras del Gato con Botas,https://pelisplus.me/serie/las-aventuras-del-gato-con-botas/,2015,https://pelisplus.me/serie/las-aventuras-del-gato-con-botas/
https://static.noimg.net/serie/cover/original/33204eb845a8ca4bd4139a4c2645a0db.jpg,https://pelisplus.me/serie/the-midnight-gospel/,The Midnight Gospel,https://pelisplus.me/serie/the-midnight-gospel/,2020,https://pelisplus.me/serie/the-midnight-gospel/
https://static.noimg.net/serie/cover/original/df05dacebfaaf5aacdb7e3d5b09b38da.jpg,https://pelisplus.me/serie/el-tren-infinito/,El Tren Infinito,https://pelisplus.me/serie/el-tren-infinito/,2019,https://pelisplus.me/serie/el-tren-infinito/
https://static.noimg.net/serie/cover/original/656ac05e09c03ae5f83a0d149eb2d9c9.jpg,https://pelisplus.me/serie/combatientes-de-la-libertad-the-ray/,Combatientes de La Libertad: The Ray,https://pelisplus.me/serie/combatientes-de-la-libertad-the-ray/,2017,https://pelisplus.me/serie/combatientes-de-la-libertad-the-ray/
https://static.noimg.net/serie/cover/original/8b4eef85b32630ff69102153269b0b80.jpg,https://pelisplus.me/serie/beat-bugs/,Beat Bugs,https://pelisplus.me/serie/beat-bugs/,2016,https://pelisplus.me/serie/beat-bugs/
https://static.noimg.net/serie/cover/original/50fa541da1148b2f35b4f414ef23ae70.jpg,https://pelisplus.me/serie/sherwood/,Sherwood,https://pelisplus.me/serie/sherwood/,2019,https://pelisplus.me/serie/sherwood/
https://static.noimg.net/serie/cover/original/f45e792c4f75d955fe266c255cb56ea3.jpg,https://pelisplus.me/serie/bob-esponja/,Bob Esponja,https://pelisplus.me/serie/bob-esponja/,1999,https://pelisplus.me/serie/bob-esponja/
https://static.noimg.net/serie/cover/original/751a30c27e4744645f559dd273cadda6.jpg,https://pelisplus.me/serie/hero-mask/,Hero Mask,https://pelisplus.me/serie/hero-mask/,2018,https://pelisplus.me/serie/hero-mask/
https://static.noimg.net/serie/cover/original/03c229f47fd240125344c305f7eb54d4.jpg,https://pelisplus.me/serie/archer/,Archer,https://pelisplus.me/serie/archer/,2009,https://pelisplus.me/serie/archer/
https://static.noimg.net/serie/cover/original/885e661b348db14c1383875d2632b31d.jpg,https://pelisplus.me/serie/dientes-de-lata/,Dientes de Lata,https://pelisplus.me/serie/dientes-de-lata/,2001,https://pelisplus.me/serie/dientes-de-lata/
https://static.noimg.net/serie/cover/original/b6fe324cc0320841bc1a8397cdf56763.jpg,https://pelisplus.me/serie/saint-seiya-los-caballeros-del-zodiaco/,Saint Seiya: Los Caballeros del Zodiaco,https://pelisplus.me/serie/saint-seiya-los-caballeros-del-zodiaco/,2019,https://pelisplus.me/serie/saint-seiya-los-caballeros-del-zodiaco/
https://static.noimg.net/serie/cover/original/46918af97fd0b0adc71bd9af4f901097.jpg,https://pelisplus.me/serie/dinosaurios/,Dinosaurios,https://pelisplus.me/serie/dinosaurios/,1991,https://pelisplus.me/serie/dinosaurios/
https://static.noimg.net/serie/cover/original/07f2e6cd844216346cc2994bd081a4fd.jpg,https://pelisplus.me/serie/kipo-y-la-era-de-las-bestias-magicas/,Kipo y la Era de las Bestias Mágicas,https://pelisplus.me/serie/kipo-y-la-era-de-las-bestias-magicas/,2020,https://pelisplus.me/serie/kipo-y-la-era-de-las-bestias-magicas/
https://static.noimg.net/serie/cover/original/3184b32540db9adee1c1307fad7aa499.jpg,https://pelisplus.me/serie/una-pizca-de-magia-en-la-ciudad-misteriosa/,Una Pizca de Magia en la Ciudad Misteriosa,https://pelisplus.me/serie/una-pizca-de-magia-en-la-ciudad-misteriosa/,2020,https://pelisplus.me/serie/una-pizca-de-magia-en-la-ciudad-misteriosa/
https://static.noimg.net/serie/cover/original/18ee7954b43265645c8d4d1404a692ce.jpg,https://pelisplus.me/serie/vaca-y-pollo/,Vaca y Pollo,https://pelisplus.me/serie/vaca-y-pollo/,1997,https://pelisplus.me/serie/vaca-y-pollo/
https://static.noimg.net/serie/cover/original/3fd4a53a554aa3b95254a3626e5e22a3.jpg,https://pelisplus.me/serie/kung-fu-panda-los-pasos-del-destino/,Kung Fu Panda: Los Pasos del Destino,https://pelisplus.me/serie/kung-fu-panda-los-pasos-del-destino/,2018,https://pelisplus.me/serie/kung-fu-panda-los-pasos-del-destino/
https://static.noimg.net/serie/cover/original/2b7f8c2470b28b3d2c9a3078fa2f79fd.jpg,https://pelisplus.me/serie/forky-asks-a-question/,Forky Asks a Question,https://pelisplus.me/serie/forky-asks-a-question/,2019,https://pelisplus.me/serie/forky-asks-a-question/
https://static.noimg.net/serie/cover/original/c939449e6d2091500c2c429356ec62bb.jpg,https://pelisplus.me/serie/fast-y-furious-espias-a-todo-gas/,Fast & Furious: Espías A Todo Gas,https://pelisplus.me/serie/fast-y-furious-espias-a-todo-gas/,2019,https://pelisplus.me/serie/fast-y-furious-espias-a-todo-gas/
https://static.noimg.net/serie/cover/original/c08ca22fca32d6bffecd644c831300f0.jpg,https://pelisplus.me/serie/mr-pickles/,Mr. Pickles,https://pelisplus.me/serie/mr-pickles/,2013,https://pelisplus.me/serie/mr-pickles/
https://static.noimg.net/serie/cover/original/71e7cdd7803901aeb1c81b8bd86b2381.jpg,https://pelisplus.me/serie/huevos-verdes-con-jamon/,Huevos Verdes con Jamón,https://pelisplus.me/serie/huevos-verdes-con-jamon/,2018,https://pelisplus.me/serie/huevos-verdes-con-jamon/
https://static.noimg.net/serie/cover/original/20667559ef9c9dce76599d2434026b35.jpg,https://pelisplus.me/serie/snoopy-en-el-espacio/,Snoopy en El Espacio,https://pelisplus.me/serie/snoopy-en-el-espacio/,2019,https://pelisplus.me/serie/snoopy-en-el-espacio/
https://static.noimg.net/serie/cover/original/6fa62dba9d46b34396b2a00bd58b58bb.jpg,https://pelisplus.me/serie/coraje-el-perro-cobarde/,"Coraje, El Perro Cobarde",https://pelisplus.me/serie/coraje-el-perro-cobarde/,1999,https://pelisplus.me/serie/coraje-el-perro-cobarde/
https://static.noimg.net/serie/cover/original/63e9df413cec491778b31ec6f36451df.jpg,https://pelisplus.me/serie/happy-tree-friends/,Happy Tree Friends,https://pelisplus.me/serie/happy-tree-friends/,1999,https://pelisplus.me/serie/happy-tree-friends/
https://static.noimg.net/serie/cover/original/40bdd8c735d2d63aa5b4a608e798fea8.jpg,https://pelisplus.me/serie/levius/,Levius,https://pelisplus.me/serie/levius/,2019,https://pelisplus.me/serie/levius/
